delta Time,delta Period,delta Gravity,delta K,delta GK
9.733754,0.000100,0.035482,inf,-nan,
delta Time,delta Period,delta Gravity,delta K,delta GK
9.733754,0.000100,0.033595,0.070875,0.284597,
delta Time,delta Period,delta Gravity,delta K,delta GK
9.733754,0.000100,0.031679,0.035430,0.124531,
delta Time,delta Period,delta Gravity,delta K,delta GK
9.733754,0.000100,0.028677,0.020238,0.055791,
