delta Time,delta Period,delta Gravity,delta K,delta GK
0.041512,0.004151,0.087426,inf,-nan,
delta Time,delta Period,delta Gravity,delta K,delta GK
0.053009,0.005301,0.100638,0.155275,0.231856,
delta Time,delta Period,delta Gravity,delta K,delta GK
0.078006,0.007801,0.141877,0.118583,0.276358,
delta Time,delta Period,delta Gravity,delta K,delta GK
0.156503,0.015650,0.369777,1.992304,1354.866031,
