average Time,period,gravity,k,gk
0.000000,1.055500,9.567684,-nan,-nan,
average Time,period,gravity,k,gk
0.000000,1.084800,9.728776,3.135540,12.590625,
average Time,period,gravity,k,gk
0.000000,1.117200,9.805266,3.351390,11.779711,
average Time,period,gravity,k,gk
0.000000,1.174300,9.733754,3.784289,10.432184,
