Average Time,Acceleration,Angle Acceleration,Force Moment,Inertia Moment,Graph Inertia,Friction Force
1.708000,0.308508,6.855739,0.023038,0.003360,-nan,-nan,
Average Time,Acceleration,Angle Acceleration,Force Moment,Inertia Moment,Graph Inertia,Friction Force
1.370000,0.479514,10.655869,0.039622,0.003718,0.004364,-0.006881,
Average Time,Acceleration,Angle Acceleration,Force Moment,Inertia Moment,Graph Inertia,Friction Force
1.138000,0.694957,15.443491,0.055313,0.003582,0.003758,-0.002728,
Average Time,Acceleration,Angle Acceleration,Force Moment,Inertia Moment,Graph Inertia,Friction Force
1.026000,0.854964,18.999198,0.070656,0.003719,0.003921,-0.003846,
Average Time,Acceleration,Angle Acceleration,Force Moment,Inertia Moment,Graph Inertia,Friction Force
5.726000,0.027450,0.609996,0.023719,0.038885,-nan,-nan,
Average Time,Acceleration,Angle Acceleration,Force Moment,Inertia Moment,Graph Inertia,Friction Force
4.224000,0.050442,1.120940,0.041444,0.036973,0.034691,0.002558,
Average Time,Acceleration,Angle Acceleration,Force Moment,Inertia Moment,Graph Inertia,Friction Force
3.486000,0.074061,1.645793,0.059082,0.035899,0.034140,0.002894,
Average Time,Acceleration,Angle Acceleration,Force Moment,Inertia Moment,Graph Inertia,Friction Force
3.096000,0.093895,2.086547,0.076663,0.036741,0.035856,0.001847,
Average Time,Acceleration,Angle Acceleration,Force Moment,Inertia Moment,Graph Inertia,Friction Force
4.512000,0.044208,0.982408,0.023679,0.024103,-nan,-nan,
Average Time,Acceleration,Angle Acceleration,Force Moment,Inertia Moment,Graph Inertia,Friction Force
3.350000,0.080196,1.782134,0.041318,0.023185,0.022057,0.002010,
Average Time,Acceleration,Angle Acceleration,Force Moment,Inertia Moment,Graph Inertia,Friction Force
2.874000,0.108960,2.421344,0.058870,0.024313,0.024456,-0.000347,
Average Time,Acceleration,Angle Acceleration,Force Moment,Inertia Moment,Graph Inertia,Friction Force
2.582000,0.134999,2.999974,0.076338,0.025446,0.026101,-0.001963,
Average Time,Acceleration,Angle Acceleration,Force Moment,Inertia Moment,Graph Inertia,Friction Force
3.086000,0.094504,2.100091,0.023557,0.011217,-nan,-nan,
Average Time,Acceleration,Angle Acceleration,Force Moment,Inertia Moment,Graph Inertia,Friction Force
2.400000,0.156250,3.472222,0.040995,0.011807,0.012709,-0.003133,
Average Time,Acceleration,Angle Acceleration,Force Moment,Inertia Moment,Graph Inertia,Friction Force
2.070000,0.210040,4.667554,0.058256,0.012481,0.013515,-0.004826,
Average Time,Acceleration,Angle Acceleration,Force Moment,Inertia Moment,Graph Inertia,Friction Force
1.790000,0.280890,6.242002,0.075187,0.012045,0.012465,-0.002621,
