Delta Time,Delta Acceleration,Delta Angle Acceleration,Delta Force Moment,Delta Inertia Moment,Delta Graph Inertia,Friction Force
0.040311,0.014579,0.358004,0.000513,0.000191,inf,-nan,
Delta Time,Delta Acceleration,Delta Angle Acceleration,Delta Force Moment,Delta Inertia Moment,Delta Graph Inertia,Friction Force
0.009000,0.006390,0.276106,0.000881,0.000127,0.000473,0.005259,
Delta Time,Delta Acceleration,Delta Angle Acceleration,Delta Force Moment,Delta Inertia Moment,Delta Graph Inertia,Friction Force
0.008660,0.010689,0.417380,0.001231,0.000125,0.000313,0.005228,
Delta Time,Delta Acceleration,Delta Angle Acceleration,Delta Force Moment,Delta Inertia Moment,Delta Graph Inertia,Friction Force
0.004123,0.007129,0.450951,0.001571,0.000121,0.000261,0.005499,
Delta Time,Delta Acceleration,Delta Angle Acceleration,Delta Force Moment,Delta Inertia Moment,Delta Graph Inertia,Friction Force
0.037108,0.000361,0.015751,0.000527,0.001325,inf,-nan,
Delta Time,Delta Acceleration,Delta Angle Acceleration,Delta Force Moment,Delta Inertia Moment,Delta Graph Inertia,Friction Force
0.036565,0.000880,0.031675,0.000921,0.001329,0.004230,0.004953,
Delta Time,Delta Acceleration,Delta Angle Acceleration,Delta Force Moment,Delta Inertia Moment,Delta Graph Inertia,Friction Force
0.050666,0.002159,0.060329,0.001313,0.001539,0.003507,0.006267,
Delta Time,Delta Acceleration,Delta Angle Acceleration,Delta Force Moment,Delta Inertia Moment,Delta Graph Inertia,Friction Force
0.072160,0.004382,0.107850,0.001704,0.002067,0.004147,0.009630,
Delta Time,Delta Acceleration,Delta Angle Acceleration,Delta Force Moment,Delta Inertia Moment,Delta Graph Inertia,Friction Force
0.052488,0.001033,0.031683,0.000526,0.000944,inf,-nan,
Delta Time,Delta Acceleration,Delta Angle Acceleration,Delta Force Moment,Delta Inertia Moment,Delta Graph Inertia,Friction Force
0.016763,0.000822,0.043614,0.000918,0.000766,0.002472,0.004602,
Delta Time,Delta Acceleration,Delta Angle Acceleration,Delta Force Moment,Delta Inertia Moment,Delta Graph Inertia,Friction Force
0.021142,0.001621,0.064756,0.001308,0.000845,0.002007,0.005276,
Delta Time,Delta Acceleration,Delta Angle Acceleration,Delta Force Moment,Delta Inertia Moment,Delta Graph Inertia,Friction Force
0.048836,0.005116,0.131786,0.001697,0.001253,0.002621,0.008749,
Delta Time,Delta Acceleration,Delta Angle Acceleration,Delta Force Moment,Delta Inertia Moment,Delta Graph Inertia,Friction Force
0.063773,0.003912,0.098659,0.000524,0.000583,inf,-nan,
Delta Time,Delta Acceleration,Delta Angle Acceleration,Delta Force Moment,Delta Inertia Moment,Delta Graph Inertia,Friction Force
0.017635,0.002322,0.092828,0.000911,0.000410,0.001427,0.005175,
Delta Time,Delta Acceleration,Delta Angle Acceleration,Delta Force Moment,Delta Inertia Moment,Delta Graph Inertia,Friction Force
0.009000,0.001885,0.111864,0.001295,0.000408,0.001012,0.005128,
Delta Time,Delta Acceleration,Delta Angle Acceleration,Delta Force Moment,Delta Inertia Moment,Delta Graph Inertia,Friction Force
0.058745,0.018447,0.432774,0.001677,0.000877,0.001864,0.012934,
